Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
0,172,0,1,0.28955032970517525,12780.30301353276,8292299.393268352
1,284,0,2,0.28955032970517525,29104.145914647117,8321403.539182999
2,299,0,2,0.28955032970517525,24818.195898184367,8346221.735081184
3,299,0,2,0.28955032970517525,18702.290858374443,8364924.025939558
4,299,0,2,0.28955032970517525,28247.357477139685,8393171.383416697
5,299,0,2,0.28955032970517525,25454.598826963324,8418625.98224366
6,299,0,2,0.28955032970517525,22769.968104043754,8441395.950347705
7,299,0,2,0.28955032970517525,30739.288735010432,8472135.239082715
8,220,1,2,0.28955032970517525,10496.825965246131,8482632.06504796
9,299,1,2,0.28955032970517525,26756.419724525087,8509388.484772487
10,99,1,3,0.28955032970517525,11297.213060108726,8520685.697832596
11,299,1,3,0.28955032970517525,20513.170996955636,8541198.868829552
12,299,1,3,0.28955032970517525,15721.48465530127,8556920.353484854
13,286,1,4,0.28955032970517525,27572.420523312834,8584492.774008166
14,299,1,4,0.28955032970517525,17361.26868733436,8601854.0426955
15,76,1,5,0.28955032970517525,9247.912512837214,8611101.955208337
16,161,1,6,0.27507281321991645,17021.680499448878,8628123.635707786
17,112,2,6,0.27507281321991645,-2730.650663174305,8625392.985044612
18,299,2,6,0.27507281321991645,23897.405499462497,8649290.390544074
19,299,2,6,0.27507281321991645,22517.22176902242,8671807.612313095
20,299,2,6,0.27507281321991645,22616.291577958254,8694423.903891053
21,263,2,7,0.27507281321991645,28165.691943433336,8722589.595834486
22,263,2,8,0.27507281321991645,17100.381757185787,8739689.977591671
23,299,2,8,0.27507281321991645,21066.65817754806,8760756.635769218
24,75,3,8,0.27507281321991645,-4421.091395734495,8756335.544373484
25,299,3,8,0.27507281321991645,27229.839845473012,8783565.384218957
26,274,3,9,0.27507281321991645,27050.339019913063,8810615.72323887
27,299,3,9,0.27507281321991645,24641.639163963977,8835257.362402834
28,47,3,10,0.27507281321991645,3984.7027171957425,8839242.06512003
29,109,3,11,0.27507281321991645,12965.730472191584,8852207.795592222
30,299,3,11,0.27507281321991645,30757.434451956007,8882965.230044179
31,299,3,11,0.2613191725589206,27085.455389934268,8910050.685434112
32,299,3,11,0.2613191725589206,21144.33441551957,8931195.019849632
33,299,3,11,0.2613191725589206,26076.36160644681,8957271.381456079
34,299,3,11,0.2613191725589206,30181.614438112512,8987452.995894192
35,299,3,11,0.2613191725589206,25423.419650836655,9012876.415545028
36,299,3,11,0.2613191725589206,29807.921202223704,9042684.336747251
37,52,3,12,0.2613191725589206,7219.271641703177,9049903.608388955
38,32,3,13,0.2613191725589206,4595.946315015438,9054499.55470397
39,299,3,13,0.2613191725589206,18697.00620388115,9073196.56090785
40,253,4,13,0.2613191725589206,11420.551797627042,9084617.112705477
41,169,4,14,0.2613191725589206,15501.883181296846,9100118.995886773
42,198,4,15,0.2613191725589206,12985.998641689617,9113104.994528463
43,299,4,15,0.2613191725589206,30339.51319562596,9143444.50772409
44,299,4,15,0.2613191725589206,24430.331485334227,9167874.839209424
45,46,4,16,0.2613191725589206,6171.412158112424,9174046.251367537
46,106,4,17,0.24825321393097458,13240.022395551126,9187286.273763089
47,121,4,18,0.24825321393097458,13180.72286346664,9200466.996626556
48,299,4,18,0.24825321393097458,24553.976401323533,9225020.97302788
49,299,4,18,0.24825321393097458,19390.574203774922,9244411.547231654
50,67,4,19,0.24825321393097458,7763.084988183919,9252174.632219838
51,19,4,20,0.24825321393097458,3481.8388929220473,9255656.47111276
52,250,5,20,0.24825321393097458,11890.64178932913,9267547.112902088
53,170,5,21,0.24825321393097458,19675.74248510172,9287222.85538719
54,93,5,22,0.24825321393097458,11690.596297106818,9298913.451684298
55,299,5,22,0.24825321393097458,27380.917563857183,9326294.369248156
56,299,5,22,0.24825321393097458,29650.83913276157,9355945.208380917
57,51,5,23,0.24825321393097458,6891.584694429142,9362836.793075345
58,299,5,23,0.24825321393097458,26974.964390146768,9389811.757465493
59,52,5,24,0.24825321393097458,6652.470995910206,9396464.228461403
60,299,5,24,0.24825321393097458,23674.732741689208,9420138.961203093
61,38,5,25,0.23584055323442585,3379.3472175337074,9423518.308420626
62,51,5,26,0.23584055323442585,4301.435725688262,9427819.744146315
63,299,5,26,0.23584055323442585,23204.542760277716,9451024.286906593
64,209,5,27,0.23584055323442585,3788.6272686337466,9454812.914175225
65,299,5,27,0.23584055323442585,25898.922329426015,9480711.836504651
66,299,5,27,0.23584055323442585,21911.880832583593,9502623.717337234
67,179,5,28,0.23584055323442585,-11738.532783471077,9490885.184553763
68,299,5,28,0.23584055323442585,19713.10527969462,9510598.289833458
69,203,5,29,0.23584055323442585,12822.754021257624,9523421.043854715
70,299,5,29,0.23584055323442585,20918.887522623707,9544339.931377338
71,259,5,30,0.23584055323442585,-10925.689348422045,9533414.242028916
72,299,5,30,0.23584055323442585,21810.728635955653,9555224.970664872
73,299,5,30,0.23584055323442585,20942.931168939806,9576167.901833812
74,299,5,30,0.23584055323442585,24787.057780538893,9600954.959614351
