Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
75,202,15,37,1.2815616721173715,16970.332747946446,1277621.9950877528
76,38,15,38,1.217483588511503,5057.972249315575,1282679.9673370684
77,299,15,38,1.217483588511503,19797.133472350262,1302477.1008094186
78,299,15,38,1.217483588511503,12318.430475990357,1314795.531285409
79,299,15,38,1.217483588511503,23779.466151864897,1338574.9974372739
80,299,15,38,1.217483588511503,21871.792050218166,1360446.789487492
81,8,15,39,1.217483588511503,2334.8645087753075,1362781.6539962674
82,299,15,39,1.217483588511503,26259.515156288206,1389041.1691525555
83,8,15,40,1.217483588511503,2384.164480598573,1391425.3336331542
84,110,15,41,1.217483588511503,5809.582254954739,1397234.915888109
85,202,16,41,1.217483588511503,-3108.0424999194192,1394126.8733881896
86,195,16,42,1.217483588511503,17837.538338135855,1411964.4117263255
87,95,16,43,1.217483588511503,10958.9751892868,1422923.3869156123
88,82,16,44,1.217483588511503,9984.449097863973,1432907.8360134761
89,183,16,45,1.217483588511503,12872.121866541816,1445779.957880018
90,160,17,45,1.217483588511503,5004.183711726277,1450784.1415917443
91,64,17,46,1.1566094090859278,6056.579434102867,1456840.7210258471
92,110,17,47,1.1566094090859278,11296.751048983888,1468137.472074831
93,28,17,48,1.1566094090859278,4112.63897717142,1472250.1110520023
94,299,17,48,1.1566094090859278,11301.539132376536,1483551.6501843787
95,32,17,49,1.1566094090859278,4253.897070055248,1487805.547254434
96,272,18,49,1.1566094090859278,14760.894893945362,1502566.4421483795
97,145,18,50,1.1566094090859278,15315.867379563111,1517882.3095279427
98,299,18,50,1.1566094090859278,23327.70763653932,1541210.017164482
99,42,18,51,1.1566094090859278,6138.455873692755,1547348.4730381747
100,25,18,52,1.1566094090859278,3593.9634462430213,1550942.4364844176
101,70,19,52,1.1566094090859278,-8149.715333470485,1542792.7211509473
102,276,19,53,1.1566094090859278,26641.231367639073,1569433.9525185863
103,117,19,54,1.1566094090859278,14201.550078246984,1583635.5025968333
104,15,19,55,1.1566094090859278,3043.2546546286267,1586678.757251462
105,299,19,55,1.1566094090859278,-61081.15604181833,1525597.6012096435
106,120,20,55,1.0987789386316313,-1528.4068406960105,1524069.1943689475
107,50,20,56,1.0987789386316313,6577.502505629754,1530646.6968745773
108,55,20,57,1.0987789386316313,5076.176795193276,1535722.8736697705
109,58,21,57,1.0987789386316313,-4443.117264363645,1531279.7564054069
110,245,22,57,1.0987789386316313,10392.031153184224,1541671.787558591
111,125,22,58,1.0987789386316313,14118.953799047527,1555790.7413576385
112,114,23,58,1.0987789386316313,-3983.7867072853533,1551806.9546503532
113,299,23,58,1.0987789386316313,20093.73482785827,1571900.6894782113
114,281,23,59,1.0987789386316313,27869.73579677823,1599770.4252749896
115,142,24,59,1.0987789386316313,928.0249389205819,1600698.45021391
116,174,25,59,1.0987789386316313,7197.681568032684,1607896.1317819427
117,299,25,59,1.0987789386316313,19771.81563312531,1627667.947415068
118,299,25,59,1.0987789386316313,23317.784561351265,1650985.7319764192
119,211,25,60,1.0987789386316313,18687.139451067043,1669672.8714274862
120,299,25,60,1.0987789386316313,21201.26650601246,1690874.1379334987
121,77,25,61,1.0438399917000498,9403.0543581147,1700277.1922916134
122,85,26,61,1.0438399917000498,-3836.143142935478,1696441.0491486778
123,160,27,61,1.0438399917000498,124.54660286693252,1696565.5957515447
124,299,27,61,1.0438399917000498,25741.468566884363,1722307.064318429
125,299,27,61,1.0438399917000498,-2507.1933413401784,1719799.8709770888
126,299,27,61,1.0438399917000498,26419.057733400492,1746218.9287104893
127,299,27,61,1.0438399917000498,28633.88704286482,1774852.8157533542
128,82,27,62,1.0438399917000498,9225.21628249758,1784078.0320358519
129,192,27,63,1.0438399917000498,13751.59288569014,1797829.624921542
130,214,28,63,1.0438399917000498,-13247.5485231618,1784582.07639838
131,299,28,63,1.0438399917000498,27022.20028674333,1811604.2766851233
132,252,29,63,1.0438399917000498,13618.998019428269,1825223.2747045516
133,299,29,63,1.0438399917000498,19426.77193909137,1844650.046643643
134,111,30,63,1.0438399917000498,-1098.214435395279,1843551.8322082476
135,85,30,64,1.0438399917000498,6550.565811682896,1850102.3980199306
136,71,30,65,0.9916479921150473,9059.398371288888,1859161.7963912194
137,155,30,66,0.9916479921150473,17062.23855309552,1876224.034944315
138,299,30,66,0.9916479921150473,20022.74365366294,1896246.778597978
139,299,30,66,0.9916479921150473,29209.06789210601,1925455.846490084
140,73,30,67,0.9916479921150473,9140.062246091631,1934595.9087361756
141,192,30,68,0.9916479921150473,18681.27375745355,1953277.1824936292
142,299,30,68,0.9916479921150473,27472.985014064216,1980750.1675076934
143,299,30,68,0.9916479921150473,30242.360801477807,2010992.5283091713
144,299,30,68,0.9916479921150473,22575.017984000016,2033567.5462931714
145,299,30,68,0.9916479921150473,26484.484587569055,2060052.0308807404
146,299,30,68,0.9916479921150473,18553.363091386775,2078605.3939721272
147,299,30,68,0.9916479921150473,23807.024626794933,2102412.418598922
148,299,30,68,0.9916479921150473,25941.065311946364,2128353.4839108684
149,202,31,68,0.9916479921150473,9496.646457997464,2137850.130368866
150,299,31,68,0.9916479921150473,24917.68177243561,2162767.8121413016
151,201,31,69,0.9420655925092949,16859.311561583672,2179627.123702885
