Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
35,299,0,77176.65625,5,1.9317488754864351,-108512.92623944258,-39542820.53049067
36,299,8,809.9987182617188,5,1.9317488754864351,-56336.76380479568,-39599157.29429546
37,299,0,28958.380859375,5,1.9317488754864351,-9144.098148262417,-39608301.392443724
38,299,14,2838.6083984375,5,1.9317488754864351,21098.483897890947,-39587202.90854583
39,299,0,75729.1171875,5,1.9317488754864351,-56951.6872027659,-39644154.595748596
40,299,3,1117.9727783203125,5,1.9317488754864351,-263429.2075830189,-39907583.80333161
41,299,32,8947.4599609375,5,1.8351614317121132,-65662.09820903011,-39973245.901540644
42,299,11,1139.0958251953125,5,1.8351614317121132,20381.04525840793,-39952864.856282234
43,299,37,40441.18359375,5,1.8351614317121132,-10745.824273322149,-39963610.68055556
44,247,3,6096.51904296875,6,1.8351614317121132,-134148.43121610128,-40097759.11177166
45,299,0,9859.2041015625,6,1.8351614317121132,11761.790222258787,-40085997.3215494
46,299,9,162699.484375,6,1.8351614317121132,334.92608073081635,-40085662.39546867
47,299,32,327.2485656738281,6,1.8351614317121132,-15119.52220551997,-40100781.917674184
48,299,0,10256.3681640625,6,1.8351614317121132,25758.21604016409,-40075023.70163402
49,299,0,9380.0302734375,6,1.8351614317121132,-918.9914651904251,-40075942.69309921
50,299,17,3062.896484375,6,1.8351614317121132,-224201.02779835503,-40300143.72089756
51,299,2,5541.296875,6,1.8351614317121132,-155108.19321155638,-40455251.91410912
52,299,35,4076.2314453125,6,1.8351614317121132,-98467.15151014282,-40553719.06561926
53,299,1,780.50244140625,6,1.8351614317121132,24193.041332598368,-40529526.024286665
54,299,0,2819.906005859375,6,1.8351614317121132,-86987.8391752046,-40616513.86346187
55,299,0,105711.0625,6,1.8351614317121132,-60425.22867767485,-40676939.09213954
56,299,5,4375.11181640625,6,1.8351614317121132,-72276.69058601152,-40749215.78272555
57,299,18,8523.884765625,6,1.8351614317121132,-55807.99001182363,-40805023.77273738
58,299,20,6024.71484375,6,1.8351614317121132,-251630.91460005747,-41056654.687337436
59,299,0,6704.09228515625,6,1.8351614317121132,-9365.562135492411,-41066020.24947293
60,299,26,71582.7890625,6,1.8351614317121132,-63282.25560022752,-41129302.50507316
61,261,30,3434.9228515625,7,1.7434033601265075,-40679.28063225371,-41169981.78570541
62,299,0,3226.983154296875,7,1.7434033601265075,23299.23314657946,-41146682.55255883
63,299,2,14226.1923828125,7,1.7434033601265075,-80414.39166024707,-41227096.94421908
64,299,0,10224.5244140625,7,1.7434033601265075,10528.290176799293,-41216568.65404228
65,299,0,94280.75,7,1.7434033601265075,-41630.397715891246,-41258199.05175817
66,299,15,36563.8125,7,1.7434033601265075,-254369.80340360073,-41512568.85516177
67,299,2,11810.07421875,7,1.7434033601265075,-152243.61459166792,-41664812.46975344
68,299,0,84581.84375,7,1.7434033601265075,14300.740223744693,-41650511.72952969
69,299,0,111143.3515625,7,1.7434033601265075,24454.996710706062,-41626056.73281899
70,299,13,80040.2890625,7,1.7434033601265075,-113415.87232299661,-41739472.60514199
71,16,0,726.526611328125,8,1.7434033601265075,3106.4989617754395,-41736366.10618021
72,299,31,56827.21875,8,1.7434033601265075,-101528.41001421482,-41837894.516194426
73,299,34,36019.15234375,8,1.7434033601265075,15195.386626640804,-41822699.12956779
74,299,0,2656.31884765625,8,1.7434033601265075,27397.731688171843,-41795301.397879615
75,299,16,17515.3828125,8,1.7434033601265075,20648.710838327475,-41774652.68704129
76,281,32,16678.916015625,9,1.7434033601265075,23274.278738137295,-41751378.40830316
77,299,0,2411.759521484375,9,1.7434033601265075,24201.204124538475,-41727177.20417862
78,177,4,1164.6920166015625,10,1.7434033601265075,-36867.412080780756,-41764044.616259396
79,299,1,14157.04296875,10,1.7434033601265075,-126287.99526324875,-41890332.611522645
80,299,0,14189.8955078125,10,1.7434033601265075,25729.165957208188,-41864603.44556544
81,299,7,95943.3984375,10,1.656233192120182,-18740.510474753508,-41883343.956040196
