Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
51,7,73390.046875,34,16,7.716374999999998,2201.9345328154354,-1607099.6271943604
52,54,1184.1630859375,35,16,7.716374999999998,-36802.84840982456,-1643902.475604185
53,99,368.00018310546875,36,16,7.716374999999998,-2160.8167944628312,-1646063.2923986476
54,3,1290.84375,36,17,7.716374999999998,1801.5739038788802,-1644261.7184947687
55,66,172772.59375,37,17,7.716374999999998,-30769.93330410589,-1675031.6517988746
56,99,114037.640625,37,18,7.716374999999998,-10261.703939385341,-1685293.3557382599
57,22,1508.4835205078125,38,18,7.716374999999998,-16612.67868611684,-1701906.0344243767
58,98,93021.8515625,39,18,7.716374999999998,-21195.791059909847,-1723101.8254842865
59,34,449.1103820800781,40,18,7.716374999999998,-17941.663774394492,-1741043.489258681
60,11,2553.067626953125,40,19,7.716374999999998,2704.00883056976,-1738339.4804281113
61,12,3529.97900390625,41,19,7.330556249999998,-13448.513959521772,-1751787.994387633
62,26,70531.015625,41,20,7.330556249999998,4129.082702674844,-1747658.911684958
63,137,363.9958190917969,41,21,7.330556249999998,-35881.70962371474,-1783540.6213086727
64,68,101200.6015625,42,21,7.330556249999998,-23438.43849969311,-1806979.0598083658
65,156,533.8240356445312,43,21,7.330556249999998,-6381.086425266982,-1813360.1462336327
66,47,91002.0234375,44,21,7.330556249999998,-5573.874995059371,-1818934.021228692
67,25,67171.0859375,45,21,7.330556249999998,-18189.41150405007,-1837123.432732742
68,9,102658.265625,45,22,7.330556249999998,2340.050391905429,-1834783.3823408366
69,114,56797.0625,46,22,7.330556249999998,-65816.0368954904,-1900599.419236327
70,9,1579.7840576171875,47,22,7.330556249999998,-10297.750505626425,-1910897.1697419535
71,59,1781.189208984375,47,23,7.330556249999998,2194.692543171274,-1908702.4771987821
72,20,3947.80517578125,47,24,7.330556249999998,1069.0634255411212,-1907633.413773241
73,159,6334045.0,48,24,7.330556249999998,-59324.66397732132,-1966958.0777505622
74,31,347.7212829589844,49,24,7.330556249999998,-42770.86835476852,-2009728.9461053307
75,28,61391.3046875,50,24,7.330556249999998,-7552.286808846526,-2017281.2329141772
76,17,833.4352416992188,51,24,6.964028437499998,-20709.907356715026,-2037991.1402708923
77,9,3350.348876953125,52,24,6.964028437499998,-9136.399887734853,-2047127.540158627
78,39,1099.7176513671875,53,24,6.964028437499998,-6524.537621202508,-2053652.0777798295
79,7,86381.8828125,53,25,6.964028437499998,2256.853488254133,-2051395.2242915754
80,12,2213.156005859375,53,26,6.964028437499998,2635.2295428115663,-2048759.9947487637
81,8,5598.9794921875,53,27,6.964028437499998,2430.55674536849,-2046329.4380033952
82,118,684.2494506835938,54,27,6.964028437499998,-16690.533123100893,-2063019.971126496
83,299,2177.87158203125,54,27,6.964028437499998,-35607.71834680538,-2098627.6894733016
84,17,5303.56201171875,55,27,6.964028437499998,-8559.229291517426,-2107186.918764819
85,108,57652.86328125,56,27,6.964028437499998,-1408.292127591676,-2108595.2108924105
86,213,1189.973876953125,56,28,6.964028437499998,-7106.37199408712,-2115701.5828864975
87,66,1094.0687255859375,57,28,6.964028437499998,-77385.40756247932,-2193086.990448977
88,16,4506.50830078125,57,29,6.964028437499998,1765.7818944375204,-2191321.2085545394
89,57,3614.943359375,58,29,6.964028437499998,-28429.879563822422,-2219751.088118362
90,13,568.17138671875,59,29,6.964028437499998,-8994.368397155426,-2228745.456515517
91,6,731.5863037109375,59,30,6.615827015624998,2082.391907560299,-2226663.064607957
92,12,290.17291259765625,60,30,6.615827015624998,-15167.316496654053,-2241830.381104611
93,46,2239.032958984375,61,30,6.615827015624998,-5932.721085173338,-2247763.1021897844
94,67,55462.8125,62,30,6.615827015624998,-20813.31864501112,-2268576.4208347956
95,5,114475.4609375,62,31,6.615827015624998,2031.0851004722338,-2266545.335734323
96,47,1026.1380615234375,63,31,6.615827015624998,-42989.020384647854,-2309534.356118971
