Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
71,180,[32166.193359375],46,26,7.330556249999998,-9446.377325246207,-1510164.5542864448
72,15,[9976.232421875],46,27,7.330556249999998,3145.331256529398,-1507019.2230299155
73,12,[25892.509765625],46,28,7.330556249999998,2874.6310805637017,-1504144.5919493518
74,45,[14701.0830078125],47,28,7.330556249999998,-21691.956055503204,-1525836.548004855
75,70,[39434.3828125],48,28,7.330556249999998,-6201.410447880675,-1532037.9584527356
76,145,[5339.5390625],49,28,6.964028437499998,-19868.96529098076,-1551906.9237437162
77,70,[22407.298828125],49,29,6.964028437499998,186.01082967411594,-1551720.9129140421
78,1,[12867.203125],49,30,6.964028437499998,1611.581254575403,-1550109.3316594667
79,190,[77661.015625],49,31,6.964028437499998,-15328.202560841619,-1565437.5342203083
80,25,[52712.45703125],50,31,6.964028437499998,-8919.845852864879,-1574357.3800731732
81,54,[49887.58984375],51,31,6.964028437499998,-13704.785458928582,-1588062.1655321019
82,85,[7336.56103515625],52,31,6.964028437499998,-21170.285630258368,-1609232.4511623601
83,59,[9181.5322265625],52,32,6.964028437499998,2522.2890767729505,-1606710.1620855872
84,60,[10610.1298828125],52,33,6.964028437499998,3476.2793569626842,-1603233.8827286244
85,9,[20651.861328125],53,33,6.964028437499998,-9154.272363417565,-1612388.155092042
86,82,[11528.4677734375],54,33,6.964028437499998,-37014.79880698302,-1649402.953899025
87,37,[74186.8828125],55,33,6.964028437499998,-9606.110379876352,-1659009.0642789013
88,56,[30504.068359375],55,34,6.964028437499998,-6300.440451394486,-1665309.5047302959
89,19,[12502.375],55,35,6.964028437499998,3271.471380816603,-1662038.0333494793
90,41,[24371.267578125],56,35,6.964028437499998,-11489.167201716236,-1673527.2005511955
91,231,[11255.0908203125],57,35,6.615827015624998,11200.01821447659,-1662327.182336719
92,83,[1092.7060546875],58,35,6.615827015624998,-3533.6004304407643,-1665860.7827671599
93,8,[70896.1015625],58,36,6.615827015624998,2257.153060315567,-1663603.6297068442
94,67,[12468.0166015625],58,37,6.615827015624998,4582.672583458013,-1659020.9571233862
95,266,[26441.078125],58,38,6.615827015624998,16124.440073171843,-1642896.5170502143
96,15,[18678.16015625],58,39,6.615827015624998,3079.22436528445,-1639817.29268493
97,22,[32785.47265625],59,39,6.615827015624998,-10462.777303631248,-1650280.069988561
98,299,[50938.046875],59,39,6.615827015624998,12288.966151563141,-1637991.1038369979
99,56,[6455.783203125],59,40,6.615827015624998,5571.23543268336,-1632419.8684043146
100,16,[13429.2060546875],59,41,6.615827015624998,3242.268628552929,-1629177.5997757616
101,35,[33271.58203125],59,42,6.615827015624998,-1236.7951087703073,-1630414.3948845319
102,5,[12449.703125],59,43,6.615827015624998,2031.9180386510452,-1628382.4768458807
103,107,[14025.4013671875],60,43,6.615827015624998,-43298.84670956761,-1671681.3235554483
104,54,[24004.134765625],60,44,6.615827015624998,-2174.6159193465824,-1673855.939474795
105,8,[28925.5078125],60,45,6.615827015624998,2207.505856290536,-1671648.4336185046
106,10,[23963.900390625],61,45,6.285035664843748,-10254.505247468589,-1681902.9388659731
107,18,[5841.97265625],61,46,6.285035664843748,1920.72264887507,-1679982.216217098
108,3,[71688.78125],61,47,6.285035664843748,1797.563793477073,-1678184.652423621
109,33,[36112.39453125],61,48,6.285035664843748,4693.6990711829585,-1673490.953352438
110,19,[19833.7421875],62,48,6.285035664843748,-18102.848094041605,-1691593.8014464797
111,7,[17501.33203125],62,49,6.285035664843748,2285.658132934443,-1689308.1433135453
112,2,[279878.53125],62,50,6.285035664843748,1692.995060243475,-1687615.1482533019
113,46,[7988.79052734375],63,50,6.285035664843748,-21737.355094763698,-1709352.5033480655
114,44,[59576.29296875],64,50,6.285035664843748,-14658.024586279407,-1724010.527934345
115,42,[10125.6611328125],64,51,6.285035664843748,2072.8265104758866,-1721937.701423869
116,59,[31212.40625],64,52,6.285035664843748,1046.424034938109,-1720891.2773889308
117,78,[30035.693359375],65,52,6.285035664843748,-2106.6407593681706,-1722997.918148299
118,50,[14920.3505859375],66,52,6.285035664843748,-15109.070655357347,-1738106.9888036563
