Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
26,299,2,4363.705078125,12,8.549999999999999,-144081.4849781663,-2340328.230376486
27,299,19,333919.96875,12,8.549999999999999,-83590.97551335482,-2423919.205889841
28,299,6,273800.15625,12,8.549999999999999,-164442.79152580744,-2588361.9974156483
29,299,1,74756.8671875,12,8.549999999999999,-79597.41723519616,-2667959.4146508444
30,104,0,147169.15625,13,8.549999999999999,-33470.134199396336,-2701429.5488502407
31,15,0,115240.9609375,14,8.549999999999999,1678.32803516195,-2699751.220815079
32,46,1,15296.72265625,15,8.549999999999999,-1720.244356952168,-2701471.465172031
33,191,12,44533.5,16,8.549999999999999,-54257.0642851728,-2755728.5294572036
34,184,12,16548.0859375,17,8.549999999999999,-38987.35644547206,-2794715.885902676
35,6,0,68052.1328125,18,8.549999999999999,2139.026809329098,-2792576.8590933466
36,299,8,19184.318359375,18,8.549999999999999,-87777.43315916763,-2880354.292252514
37,299,12,21918.1015625,18,8.549999999999999,-18211.023565159656,-2898565.3158176737
38,58,0,143533.984375,19,8.549999999999999,-20445.93006601669,-2919011.24588369
39,299,2,86591.8359375,19,8.549999999999999,-74434.76156052007,-2993446.0074442104
40,299,13,7514.45849609375,19,8.549999999999999,-118955.35440682572,-3112401.361851036
41,299,2,1512.6209716796875,19,8.122499999999999,-92137.08979595748,-3204538.4516469934
42,299,18,97213.84375,19,8.122499999999999,-47073.16821676865,-3251611.619863762
43,299,19,73935.7109375,19,8.122499999999999,-46037.83164094321,-3297649.4515047055
44,6,0,16143.2373046875,20,8.122499999999999,2110.9558720561918,-3295538.4956326494
45,299,4,63146.546875,20,8.122499999999999,-51353.089718776486,-3346891.5853514257
46,42,0,8047.75146484375,21,8.122499999999999,-14033.799927605078,-3360925.3852790305
47,125,7,210971.75,22,8.122499999999999,-69187.7710151382,-3430113.156294169
48,299,13,54543.58203125,22,8.122499999999999,-101495.83115160785,-3531608.987445777
49,275,8,73832.46875,23,8.122499999999999,-78971.34094816644,-3610580.328393943
50,299,7,88156.3203125,23,8.122499999999999,-64609.801373955146,-3675190.1297678985
51,30,0,110304.9375,24,8.122499999999999,-16232.89707416408,-3691423.0268420624
52,299,6,62063.12109375,24,8.122499999999999,-106681.9630850051,-3798104.9899270674
53,299,50,20828.1875,24,8.122499999999999,-2193.9223220371714,-3800298.9122491046
54,263,13,114205.6171875,25,8.122499999999999,-122390.43098928661,-3922689.343238391
55,4,0,5467.32470703125,26,8.122499999999999,1885.7716593100354,-3920803.571579081
56,299,12,1266.4931640625,26,8.122499999999999,-95519.29475011159,-4016322.8663291926
57,48,0,130205.8359375,27,8.122499999999999,-3084.3981489562793,-4019407.264478149
58,150,0,89290.6953125,28,8.122499999999999,-86748.29020583356,-4106155.5546839824
59,299,11,61291.6875,28,8.122499999999999,-101790.3252917748,-4207945.879975758
60,166,1,10257.2734375,29,8.122499999999999,-48891.492288032474,-4256837.37226379
61,299,15,215040.578125,29,7.716374999999998,-166440.11370138085,-4423277.485965171
62,19,0,32754.109375,30,7.716374999999998,916.9887178201166,-4422360.49724735
63,299,15,144630.8125,30,7.716374999999998,-115189.22997812074,-4537549.727225471
64,12,0,16350.2001953125,31,7.716374999999998,1195.3048936934124,-4536354.422331778
