Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
80,56,2218.912353515625,55,24,6.964028437499998,-11837.389149497363,-1741866.2472183648
81,273,10064.9892578125,56,24,6.964028437499998,7520.336929838279,-1734345.9102885267
82,14,144047.109375,57,24,6.964028437499998,-8613.88704713338,-1742959.79733566
83,34,7016.6953125,58,24,6.964028437499998,-7147.791775922277,-1750107.5891115824
84,7,20054.875,58,25,6.964028437499998,2234.5111968961583,-1747873.0779146862
85,3,18908.58984375,58,26,6.964028437499998,1816.1769544916642,-1746056.9009601944
86,24,7169.44970703125,58,27,6.964028437499998,-6298.061135102045,-1752354.9620952965
87,104,15190.1279296875,58,28,6.964028437499998,-18847.929469418068,-1771202.8915647145
88,233,1120852.875,59,28,6.964028437499998,-24498.517154813584,-1795701.408719528
89,6,54478.59765625,59,29,6.964028437499998,892.9750811229825,-1794808.433638405
90,299,2099.518798828125,59,29,6.964028437499998,-4989.167901427084,-1799797.601539832
91,6,59707.9921875,59,30,6.615827015624998,2181.9883989364685,-1797615.6131408955
92,11,23823.33984375,59,31,6.615827015624998,2685.107294972874,-1794930.5058459225
93,138,17244.958984375,60,31,6.615827015624998,-4784.606658456853,-1799715.1125043794
94,299,7256.03515625,60,31,6.615827015624998,-28866.72697571276,-1828581.839480092
95,24,5880.07373046875,61,31,6.615827015624998,-29521.292141125232,-1858103.1316212174
96,51,33966.6484375,62,31,6.615827015624998,-11191.12675791149,-1869294.2583791288
97,4,2894.166015625,62,32,6.615827015624998,802.2322264029399,-1868492.0261527258
98,2,5906.91162109375,62,33,6.615827015624998,1724.8117019537024,-1866767.2144507722
99,118,111943.7578125,63,33,6.615827015624998,-4382.0293019388455,-1871149.243752711
100,75,48966.8515625,64,33,6.615827015624998,-16701.367265656558,-1887850.6110183676
101,121,22761.95703125,64,34,6.615827015624998,11273.811490040254,-1876576.7995283273
102,8,45175.75,64,35,6.615827015624998,2396.6580052346153,-1874180.1415230928
103,4,24661.921875,64,36,6.615827015624998,1921.5278962217603,-1872258.613626871
104,86,70087.2421875,64,37,6.615827015624998,4275.55493541466,-1867983.0586914564
105,2,51257.6640625,64,38,6.615827015624998,1725.242834515343,-1866257.815856941
106,32,13680.2763671875,64,39,6.285035664843748,2290.8058273651577,-1863967.0100295758
107,11,12453.5419921875,64,40,6.285035664843748,2570.6494629277227,-1861396.360566648
108,98,18137.419921875,65,40,6.285035664843748,-10210.560089500548,-1871606.9206561486
109,44,13879.7802734375,65,41,6.285035664843748,4203.25674805656,-1867403.663908092
110,26,9196.681640625,65,42,6.285035664843748,-4936.47619863656,-1872340.1401067285
111,34,20891.033203125,65,43,6.285035664843748,4941.695875428365,-1867398.4442313001
112,2,14196.2802734375,65,44,6.285035664843748,1724.8117019537024,-1865673.6325293465
113,229,73677.25,66,44,6.285035664843748,-31246.62371660505,-1896920.2562459516
114,145,33660.71875,67,44,6.285035664843748,-21831.854092442103,-1918752.1103383938
115,85,10930.71875,68,44,6.285035664843748,-3716.4677624169726,-1922468.5781008108
116,299,4709.0927734375,68,44,6.285035664843748,18147.80912505053,-1904320.7689757603
117,121,7678.0185546875,69,44,6.285035664843748,-14149.992276053932,-1918470.7612518142
118,6,36922.61328125,69,45,6.285035664843748,2147.3148652194177,-1916323.4463865948
119,3,24245.634765625,69,46,6.285035664843748,1851.5336701924082,-1914471.9127164024
