Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
29,299,0,92011.1796875,2,0.7289523973583351,26217.354005189634,-56391010.836540595
30,299,0,3961.390625,2,0.7289523973583351,29533.922584624754,-56361476.91395597
31,299,32,60244.65625,2,0.7289523973583351,18812.355112681387,-56342664.55884329
32,299,0,3095.452880859375,2,0.7289523973583351,27942.988181749806,-56314721.570661545
33,299,0,13969.4521484375,2,0.7289523973583351,27893.24541886889,-56286828.325242676
34,299,12,6431.95458984375,2,0.7289523973583351,23746.59761261251,-56263081.727630064
35,299,0,76481.2265625,2,0.7289523973583351,30351.88608412883,-56232729.84154593
36,299,0,26942.779296875,2,0.7289523973583351,-70252.37925192021,-56302982.22079785
37,299,0,54041.20703125,2,0.7289523973583351,27977.278182388807,-56275004.942615464
38,299,0,1758.79052734375,2,0.7289523973583351,-88635.53844403793,-56363640.4810595
39,299,0,638.6139526367188,2,0.7289523973583351,-153891.5678617958,-56517532.048921295
40,299,4,3763.155029296875,2,0.7289523973583351,-137176.55270934757,-56654708.60163064
41,299,0,5142.29052734375,2,0.6925047774904183,-65612.22789725222,-56720320.82952789
42,182,0,1288.695068359375,3,0.6925047774904183,22183.20542379314,-56698137.6241041
43,80,0,2184.177490234375,4,0.6925047774904183,10761.955060043521,-56687375.669044055
44,267,0,2034.3116455078125,5,0.6925047774904183,-108626.4719866366,-56796002.14103069
45,299,0,1571.2047119140625,5,0.6925047774904183,-1641.247790208108,-56797643.3888209
46,188,0,42389.08984375,6,0.6925047774904183,9389.068575802135,-56788254.3202451
47,257,0,11429.9111328125,7,0.6925047774904183,-19772.893325395235,-56808027.2135705
48,299,4,108114.2578125,7,0.6925047774904183,-51710.011452964914,-56859737.22502346
49,299,7,2517.4814453125,7,0.6925047774904183,-57132.190908310076,-56916869.415931776
50,299,17,2038.3253173828125,7,0.6925047774904183,-197325.96344128996,-57114195.379373066
