Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
59,180,[4893.81982421875],50,10,7.716374999999998,7109.8716515161395,-1893844.703000057
60,161,[75762.5390625],51,10,7.716374999999998,-10174.216858337975,-1904018.919858395
61,9,[47978.48046875],51,11,7.330556249999998,2421.1615082139497,-1901597.758350181
62,77,[3794.75390625],52,11,7.330556249999998,-11852.883647418741,-1913450.6419975997
63,276,[6002.06396484375],53,11,7.330556249999998,-15181.492445166721,-1928632.1344427664
64,73,[5614.3544921875],54,11,7.330556249999998,-24068.67303012879,-1952700.8074728951
65,119,[22547.388671875],55,11,7.330556249999998,-6258.767481513012,-1958959.5749544082
66,27,[15756.2138671875],55,12,7.330556249999998,2245.5353443432023,-1956714.039610065
67,34,[37027.3125],55,13,7.330556249999998,4742.1584845492835,-1951971.8811255158
68,97,[8893.5791015625],56,13,7.330556249999998,-10392.907423487331,-1962364.7885490032
69,249,[17515.189453125],56,14,7.330556249999998,-37271.06212503065,-1999635.8506740339
70,99,[10834.4228515625],56,15,7.330556249999998,-14481.467845119578,-2014117.3185191534
71,42,[16404.18359375],57,15,7.330556249999998,-25932.508940494048,-2040049.8274596476
72,189,[19980.640625],58,15,7.330556249999998,-16063.357034905883,-2056113.1844945534
73,231,[83514.296875],59,15,7.330556249999998,8140.957594708565,-2047972.2268998448
74,2,[23873.013671875],60,15,7.330556249999998,-12419.977052902326,-2060392.2039527472
75,49,[12601.578125],60,16,7.330556249999998,-14625.58700262873,-2075017.7909553759
76,25,[105507.3046875],61,16,6.964028437499998,-7681.45267752481,-2082699.2436329008
77,48,[235122.59375],61,17,6.964028437499998,6382.366908901827,-2076316.876723999
78,37,[105928.1953125],62,17,6.964028437499998,-17522.496636074386,-2093839.3733600732
79,28,[22843.06640625],62,18,6.964028437499998,4181.7830203976955,-2089657.5903396755
80,38,[34138.5078125],63,18,6.964028437499998,-14661.076012806036,-2104318.6663524816
81,7,[72433.921875],63,19,6.964028437499998,2228.145420167714,-2102090.520932314
82,62,[70227.265625],63,20,6.964028437499998,4875.335953858516,-2097215.1849784553
83,146,[2596.045166015625],64,20,6.964028437499998,-3676.744801314486,-2100891.92977977
84,91,[23461.107421875],64,21,6.964028437499998,289.8790728251472,-2100602.050706945
85,336,[89154.203125],65,21,6.964028437499998,2015.7515908296955,-2098586.299116115
86,19,[43650.41796875],66,21,6.964028437499998,-9555.692969065703,-2108141.9920851807
87,68,[27909.833984375],66,22,6.964028437499998,6885.136805187205,-2101256.8552799937
88,66,[21279.98046875],66,23,6.964028437499998,4883.646535584727,-2096373.208744409
89,26,[5516.8740234375],66,24,6.964028437499998,4392.408731484365,-2091980.8000129247
90,49,[28493.15625],67,24,6.964028437499998,-12119.536325770863,-2104100.3363386956
91,69,[4983.921875],68,24,6.615827015624998,-4995.379910074367,-2109095.71624877
92,272,[16201.4755859375],69,24,6.615827015624998,-7522.131816749468,-2116617.8480655192
93,64,[14009.4091796875],70,24,6.615827015624998,-8735.48542081064,-2125353.3334863298
94,177,[37571.5625],71,24,6.615827015624998,-1712.2632554285883,-2127065.5967417583
95,10,[11470.591796875],71,25,6.615827015624998,2533.857343905607,-2124531.7393978527
96,212,[26941.15625],71,26,6.615827015624998,8125.585976823414,-2116406.1534210294
97,4,[24201.537109375],71,27,6.615827015624998,1928.02974642256,-2114478.123674607
98,11,[48799.05859375],72,27,6.615827015624998,-14786.783368270491,-2129264.9070428773
99,20,[14117.1025390625],72,28,6.615827015624998,3847.949025362731,-2125416.9580175146
100,160,[6546.70947265625],73,28,6.615827015624998,-13045.439674659081,-2138462.3976921737
101,245,[20843.673828125],73,29,6.615827015624998,18236.60153979833,-2120225.796152375
102,107,[5578.2333984375],73,30,6.615827015624998,-16187.49123154732,-2136413.2873839224
103,69,[24746.31640625],74,30,6.615827015624998,-10545.437672841314,-2146958.7250567637
104,74,[22390.216796875],75,30,6.615827015624998,-3400.4163749228874,-2150359.1414316865
105,14,[56669.9609375],76,30,6.615827015624998,-10005.994863825057,-2160365.1362955114
106,87,[27268.892578125],77,30,6.285035664843748,-4905.053198975065,-2165270.1894944864
