Episode,Steps Done,Epsilon,Instant Reward,Cummulative Reward
0,59,5.041995277796873,1571.5274195073957,1463476.631109339
1,6,5.041995277796873,2134.8908412283226,1465611.5219505674
2,39,5.041995277796873,5418.124963549391,1471029.6469141168
3,27,5.041995277796873,4461.60511652132,1475491.252030638
4,74,5.041995277796873,8234.83429521305,1483726.086325851
5,33,5.041995277796873,4822.196342003704,1488548.2826678548
6,8,5.041995277796873,2470.898162515065,1491019.18083037
7,137,5.041995277796873,4974.606218073706,1495993.7870484437
8,69,5.041995277796873,8287.43365447985,1504281.2207029236
9,85,5.041995277796873,9344.036767954036,1513625.2574708776
10,256,5.041995277796873,21338.617095308568,1534963.8745661862
11,20,5.041995277796873,-7790.5408987472865,1527173.333667439
12,299,5.041995277796873,17426.748084345905,1544600.0817517848
13,76,5.041995277796873,9054.912145794944,1553654.9938975796
14,4,5.041995277796873,1933.8097979763086,1555588.803695556
15,84,5.041995277796873,7220.082529601824,1562808.8862251579
16,49,5.041995277796873,7047.230529766288,1569856.1167549242
17,51,5.041995277796873,7157.777650831127,1577013.8944057552
18,9,5.041995277796873,2474.9905649270418,1579488.8849706822
19,31,5.041995277796873,4557.203041589485,1584046.0880122718
20,181,5.041995277796873,19498.216752786237,1603544.304765058
21,113,5.041995277796873,11343.616618440386,1614887.9213834985
22,17,5.041995277796873,3304.450385048269,1618192.3717685468
23,7,5.041995277796873,2365.20172842827,1620557.573496975
24,299,5.041995277796873,10785.174872948903,1631342.7483699238
25,193,5.041995277796873,21505.090953881656,1652847.8393238054
26,2,5.041995277796873,1730.2872525673997,1654578.126576373
27,75,5.041995277796873,7809.008277712818,1662387.1348540857
28,299,5.041995277796873,22004.114899035598,1684391.2497531213
29,299,5.041995277796873,26104.870596296398,1710496.1203494177
30,101,5.041995277796873,12069.023363980321,1722565.143713398
31,10,5.041995277796873,2598.6019361801973,1725163.745649578
32,4,5.041995277796873,1937.7213006269826,1727101.466950205
33,299,5.041995277796873,25340.508816693386,1752441.9757668984
34,15,5.041995277796873,3071.4278344031236,1755513.4036013016
35,5,5.041995277796873,2018.4726780274034,1757531.876279329
36,56,5.041995277796873,7859.309121591308,1765391.1854009202
37,299,5.041995277796873,8877.758756554094,1774268.9441574742
38,133,5.041995277796873,8254.77545350029,1782523.7196109744
39,23,5.041995277796873,3905.1223805449445,1786428.8419915193
40,257,5.041995277796873,22807.5001192756,1809236.342110795
41,84,5.041995277796873,9625.055393987692,1818861.3975047828
42,166,5.041995277796873,16580.4278341908,1835441.8253389737
43,1,5.041995277796873,1626.5906001785606,1837068.4159391522
44,299,5.041995277796873,25896.16786839957,1862964.5838075518
45,299,5.041995277796873,29645.77901327481,1892610.3628208265
46,255,5.041995277796873,12200.270425374743,1904810.6332462013
47,299,5.041995277796873,22562.96753278276,1927373.6007789841
48,299,5.041995277796873,23212.933240251514,1950586.5340192358
49,265,5.041995277796873,19151.4301503512,1969737.964169587
50,166,5.041995277796873,-13023.27335693596,1956714.690812651
51,299,4.7898955139070285,13688.33855189866,1970403.0293645498
52,251,4.7898955139070285,16161.69007252068,1986564.7194370704
53,8,4.7898955139070285,2492.6830318224497,1989057.402468893
54,9,4.7898955139070285,2516.8429499875656,1991574.2454188806
55,299,4.7898955139070285,28065.779874258937,2019640.0252931395
56,6,4.7898955139070285,2264.168722736497,2021904.194015876
57,299,4.7898955139070285,25153.523167672527,2047057.7171835485
58,299,4.7898955139070285,24278.522666742938,2071336.2398502915
59,10,4.7898955139070285,2710.2670375835714,2074046.506887875
60,152,4.7898955139070285,-2595.9881184642236,2071450.518769411
61,299,4.7898955139070285,26564.31392621071,2098014.8326956215
62,50,4.7898955139070285,6963.1230110490405,2104977.9557066704
63,3,4.7898955139070285,1833.9839049562388,2106811.939611627
64,37,4.7898955139070285,5231.302830613233,2112043.24244224
65,88,4.7898955139070285,8137.157114698748,2120180.3995569386
66,96,4.7898955139070285,2973.9577205470587,2123154.3572774855
67,63,4.7898955139070285,8149.473870809627,2131303.831148295
68,8,4.7898955139070285,2341.1442141033676,2133644.9753623987
69,267,4.7898955139070285,-9692.91923393283,2123952.056128466
70,51,4.7898955139070285,6524.024600870443,2130476.0807293365
71,299,4.7898955139070285,26556.51489600058,2157032.595625337
72,6,4.7898955139070285,2164.9651194110756,2159197.5607447485
73,100,4.7898955139070285,10796.042297999678,2169993.6030427483
74,299,4.7898955139070285,21100.341525676587,2191093.944568425
75,33,4.7898955139070285,5301.95371982318,2196395.898288248
76,43,4.7898955139070285,5833.777100001954,2202229.67538825
77,299,4.7898955139070285,13784.130222577649,2216013.8056108276
78,91,4.7898955139070285,9173.170057273877,2225186.9756681016
79,299,4.7898955139070285,22820.054325254565,2248007.029993356
80,299,4.7898955139070285,24138.395430269316,2272145.4254236254
81,86,4.7898955139070285,8370.970347873827,2280516.3957714993
82,299,4.7898955139070285,25353.275846747816,2305869.671618247
83,10,4.7898955139070285,2580.426423745277,2308450.098041992
84,2,4.7898955139070285,1730.2872525673997,2310180.3852945594
85,299,4.7898955139070285,23936.2890147533,2334116.674309313
86,70,4.7898955139070285,8256.204149112365,2342372.8784584254
87,56,4.7898955139070285,7710.146808153068,2350083.0252665784
88,211,4.7898955139070285,284.3556238732381,2350367.380890452
89,186,4.7898955139070285,18974.992157002216,2369342.3730474543
