Episode,Steps Done,Epsilon,Instant Reward,Cummulative Reward
0,14,5.041995277796873,2598.8080759993904,1464503.9117658308
1,198,5.041995277796873,4212.870048047951,1468716.7818138788
2,66,5.041995277796873,8050.153836579611,1476766.9356504583
3,34,5.041995277796873,5074.594298572525,1481841.5299490308
4,299,5.041995277796873,19729.578716955777,1501571.1086659867
5,299,5.041995277796873,14338.071953744316,1515909.180619731
6,161,5.041995277796873,-14534.34252317286,1501374.838096558
7,114,5.041995277796873,11443.160670365694,1512817.9987669238
8,103,5.041995277796873,11457.6492075663,1524275.6479744902
9,299,5.041995277796873,25341.852292815936,1549617.500267306
10,299,5.041995277796873,27853.640760820286,1577471.1410281265
11,274,5.041995277796873,29998.001562439196,1607469.1425905656
12,299,5.041995277796873,25957.372128209845,1633426.5147187754
13,163,5.041995277796873,6070.359126695439,1639496.8738454708
14,299,5.041995277796873,11455.634708333238,1650952.5085538041
15,299,5.041995277796873,10300.654841461628,1661253.1633952658
16,267,5.041995277796873,16915.96800567839,1678169.1314009442
17,138,5.041995277796873,14072.212920887885,1692241.344321832
18,171,5.041995277796873,4317.924062813352,1696559.2683846455
19,285,5.041995277796873,8328.127797514611,1704887.3961821601
20,106,5.041995277796873,11042.363261231001,1715929.759443391
21,15,5.041995277796873,3173.630800221489,1719103.3902436127
22,299,5.041995277796873,25909.345217914713,1745012.7354615275
23,299,5.041995277796873,24226.82552678755,1769239.560988315
24,220,5.041995277796873,12099.053462576254,1781338.6144508913
25,299,5.041995277796873,17868.948621181014,1799207.5630720723
26,148,5.041995277796873,14955.083768753522,1814162.646840826
27,106,5.041995277796873,5846.959638190048,1820009.606479016
28,225,5.041995277796873,-1793.9779997844344,1818215.6284792314
29,299,5.041995277796873,28226.744418070248,1846442.3728973016
30,50,5.041995277796873,5743.310521673909,1852185.6834189754
31,299,5.041995277796873,23959.881049793028,1876145.5644687684
32,299,5.041995277796873,-3944.2371079449863,1872201.3273608235
33,299,5.041995277796873,22882.573455572794,1895083.9008163963
34,299,5.041995277796873,8102.915701890517,1903186.816518287
35,299,5.041995277796873,-518.4762937604953,1902668.3402245264
36,107,5.041995277796873,11168.722831007253,1913837.0630555337
37,39,5.041995277796873,5098.615820672276,1918935.678876206
38,299,5.041995277796873,24634.849897386885,1943570.528773593
39,299,5.041995277796873,27284.01816383658,1970854.5469374296
40,47,5.041995277796873,-6273.193409820853,1964581.3535276088
41,277,5.041995277796873,22517.836399748016,1987099.1899273568
42,299,5.041995277796873,23289.56119494328,2010388.7511223
43,171,5.041995277796873,18186.255136404936,2028575.006258705
44,93,5.041995277796873,-720.9504035097762,2027854.0558551953
45,299,5.041995277796873,16685.90461116753,2044539.9604663628
46,299,5.041995277796873,22961.213265369945,2067501.1737317326
47,299,5.041995277796873,22450.099152211245,2089951.272883944
48,299,5.041995277796873,25316.053440663956,2115267.3263246077
49,114,5.041995277796873,-5040.036921128965,2110227.2894034786
50,299,5.041995277796873,20017.949224220345,2130245.2386276987
51,299,4.7898955139070285,21565.256690919,2151810.4953186177
52,299,4.7898955139070285,27054.809946902034,2178865.30526552
53,268,4.7898955139070285,16975.947268227035,2195841.252533747
54,299,4.7898955139070285,21249.128759654708,2217090.3812934016
55,299,4.7898955139070285,22180.817146720063,2239271.1984401215
56,235,4.7898955139070285,8011.1501306567225,2247282.348570778
57,34,4.7898955139070285,4947.810060289197,2252230.1586310673
58,90,4.7898955139070285,9788.387423777343,2262018.5460548447
59,159,4.7898955139070285,15946.893812645192,2277965.43986749
60,299,4.7898955139070285,17165.818410017193,2295131.258277507
61,299,4.7898955139070285,25588.72476424414,2320719.983041751
62,299,4.7898955139070285,23867.325073295724,2344587.308115047
63,299,4.7898955139070285,22144.742177028613,2366732.0502920756
64,203,4.7898955139070285,20981.283780212787,2387713.3340722886
65,299,4.7898955139070285,20855.02458326643,2408568.358655555
66,299,4.7898955139070285,26353.579025526447,2434921.9376810817
67,100,4.7898955139070285,10771.854963744925,2445693.7926448267
68,248,4.7898955139070285,22612.08505015085,2468305.8776949774
69,299,4.7898955139070285,19001.6955349094,2487307.573229887
70,299,4.7898955139070285,28236.96756318782,2515544.5407930748
71,113,4.7898955139070285,12993.771816413764,2528538.3126094886
72,88,4.7898955139070285,9449.652670605194,2537987.9652800937
73,299,4.7898955139070285,22620.338598642313,2560608.303878736
74,299,4.7898955139070285,23057.62348429609,2583665.9273630325
75,282,4.7898955139070285,13047.412279130294,2596713.339642163
76,299,4.7898955139070285,27047.383127616427,2623760.722769779
77,299,4.7898955139070285,27474.581180749658,2651235.3039505286
78,299,4.7898955139070285,27236.455302057202,2678471.759252586
79,213,4.7898955139070285,9883.410316325688,2688355.1695689117
80,51,4.7898955139070285,5778.742726259801,2694133.9122951715
81,299,4.7898955139070285,26177.64254376334,2720311.554838935
82,299,4.7898955139070285,22230.588062624345,2742542.1429015594
83,299,4.7898955139070285,22766.653148093665,2765308.796049653
84,299,4.7898955139070285,21840.518898470254,2787149.3149481234
85,299,4.7898955139070285,22408.86707478341,2809558.182022907
86,299,4.7898955139070285,25968.723849809125,2835526.905872716
87,299,4.7898955139070285,27922.12409560236,2863449.0299683185
88,299,4.7898955139070285,27502.435870431284,2890951.46583875
89,30,4.7898955139070285,4441.0287317861375,2895392.494570536
90,299,4.7898955139070285,23837.46825771124,2919229.9628282473
91,299,4.7898955139070285,24974.455063260844,2944204.417891508
92,98,4.7898955139070285,10666.77950422879,2954871.197395737
93,299,4.7898955139070285,-2514.306771595816,2952356.890624141
94,299,4.7898955139070285,19383.76493933711,2971740.655563478
95,74,4.7898955139070285,9747.303595873045,2981487.959159351
96,101,4.7898955139070285,-756.251362986708,2980731.707796364
97,299,4.7898955139070285,28531.366912079393,3009263.0747084436
98,299,4.7898955139070285,24939.57388729956,3034202.6485957433
99,299,4.7898955139070285,14916.485399469198,3049119.1339952126
100,274,4.7898955139070285,24338.06667297729,3073457.2006681897
101,299,4.5504007382116765,20856.67545385741,3094313.876122047
102,299,4.5504007382116765,26947.577980963044,3121261.4541030102
103,299,4.5504007382116765,20570.253602575358,3141831.7077055858
104,299,4.5504007382116765,25483.140801843085,3167314.848507429
105,158,4.5504007382116765,-2043.6734670302421,3165271.1750403987
106,10,4.5504007382116765,2487.172721138182,3167758.347761537
107,53,4.5504007382116765,6246.638728038107,3174004.986489575
108,299,4.5504007382116765,18548.205374919045,3192553.191864494
109,299,4.5504007382116765,26297.950219746137,3218851.14208424
110,299,4.5504007382116765,25237.48885322119,3244088.6309374613
