Episode,Epsilon,Instant Reward,Cummulative Reward
58,7.6,11029.669519095152,1272112.022352129
59,7.6,25678.392481093368,1297790.4148332223
60,7.6,25619.500612265085,1323409.9154454875
61,7.6,5349.398777166074,1328759.3142226536
62,7.6,12020.034934658792,1340779.3491573124
63,7.6,12294.088693012181,1353073.4378503247
64,7.6,26227.19274590056,1379300.6305962251
65,7.6,25856.225127943268,1405156.8557241685
66,7.6,26384.1271210501,1431540.9828452186
67,7.6,26498.443999959487,1458039.426845178
68,7.6,16116.127888632585,1474155.5547338105
69,7.6,8663.647114606343,1482819.2018484168
70,7.6,26648.88529421071,1509468.0871426275
71,7.6,25656.48508295385,1535124.5722255814
72,7.6,24223.591583707803,1559348.1638092892
73,7.6,26159.844854316896,1585508.0086636061
74,7.6,25798.643172354885,1611306.651835961
75,7.6,26218.778103067052,1637525.429939028
76,7.6,24568.641380166773,1662094.071319195
77,7.6,25899.506123497198,1687993.5774426921
78,7.6,25788.18615735962,1713781.7636000516
79,7.6,26895.54218354321,1740677.305783595
80,7.6,26036.89510237766,1766714.2008859727
81,7.6,26115.24348128766,1792829.4443672604
82,7.6,13451.470539477976,1806280.9149067383
83,7.6,25820.264860958745,1832101.1797676971
84,7.6,25984.975627302712,1858086.1553949998
85,7.6,26412.398889697484,1884498.5542846972
86,7.6,26186.21893539497,1910684.773220092
87,7.6,4120.729653087094,1914805.502873179
88,7.6,26191.062253692777,1940996.565126872
89,7.6,21548.337621859922,1962544.902748732
90,7.6,26144.650144722884,1988689.5528934547
91,7.6,26239.59102080447,2014929.143914259
92,7.6,15460.566784176994,2030389.710698436
93,7.6,25782.940195538595,2056172.6508939746
94,7.6,26744.615223563564,2082917.266117538
95,7.6,25798.44011254324,2108715.706230081
96,7.6,14656.887253113342,2123372.5934831947
97,7.6,25979.961791097605,2149352.5552742924
98,7.6,24352.573493871692,2173705.128768164
99,7.6,25666.350220527056,2199371.4789886912
100,7.6,17407.626595282094,2216779.105583973
101,7.22,23995.553595410147,2240774.6591793834
102,7.22,24626.19137941014,2265400.8505587936
103,7.22,13168.147745333868,2278568.9983041277
104,7.22,25803.3197422597,2304372.3180463873
