2019-04-12 18:48:32.367086, duration (m), 0.550273283323, ep, 46, epsilon, 6.51605, ep_reward, 143.22259258, total reward, 375.863547231
2019-04-12 18:52:50.966713, duration (m), 2.71140854756, ep, 47, epsilon, 6.51605, ep_reward, 2383.01037908, total reward, 2758.87392631
2019-04-12 18:55:40.664392, duration (m), 1.24642528296, ep, 48, epsilon, 6.51605, ep_reward, -923.010594052, total reward, 1835.86333225
2019-04-12 19:00:08.010811, duration (m), 2.84249294996, ep, 49, epsilon, 6.51605, ep_reward, 1325.57225589, total reward, 3161.43558815
2019-04-12 19:04:32.022783, duration (m), 2.82208248377, ep, 50, epsilon, 6.51605, ep_reward, 5188.17009862, total reward, 8349.60568677
2019-04-12 19:09:11.774791, duration (m), 2.8202556332, ep, 51, epsilon, 6.1902475, ep_reward, 1066.8313201, total reward, 9416.43700687
2019-04-12 19:11:04.636244, duration (m), 0.313007434209, ep, 52, epsilon, 6.1902475, ep_reward, -1393.69203135, total reward, 8022.74497552
2019-04-12 19:15:29.078778, duration (m), 2.8351593852, ep, 53, epsilon, 6.1902475, ep_reward, 2725.09964852, total reward, 10747.844624
2019-04-12 19:19:53.026026, duration (m), 2.82374389966, ep, 54, epsilon, 6.1902475, ep_reward, 1564.47306112, total reward, 12312.3176852
2019-04-12 19:24:16.458755, duration (m), 2.82976041635, ep, 55, epsilon, 6.1902475, ep_reward, 2862.71833439, total reward, 15175.0360195
2019-04-12 19:28:42.705063, duration (m), 2.83405916691, ep, 56, epsilon, 6.1902475, ep_reward, 4740.40811261, total reward, 19915.4441322
2019-04-12 19:31:27.024556, duration (m), 1.15142980019, ep, 57, epsilon, 6.1902475, ep_reward, -1430.68608631, total reward, 18484.7580458
2019-04-12 19:35:52.506769, duration (m), 2.84767984947, ep, 58, epsilon, 6.1902475, ep_reward, 5090.95598366, total reward, 23575.7140295
2019-04-12 19:38:46.576975, duration (m), 1.33576504787, ep, 59, epsilon, 6.1902475, ep_reward, -1138.4401793, total reward, 22437.2738502
2019-04-12 19:41:29.509165, duration (m), 1.16169138352, ep, 60, epsilon, 6.1902475, ep_reward, -675.174067226, total reward, 21762.099783
