Episode,Steps Done,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
147,4,59,83,5.388632453145407,1967.5399849016117,-2023719.795211118
148,37,59,84,5.388632453145407,5092.929700157318,-2018626.8655109606
149,36,60,84,5.388632453145407,-10798.294155535377,-2029425.1596664959
150,61,61,84,5.388632453145407,-8690.239194707356,-2038115.398861203
151,84,62,84,5.119200830488136,-3622.7874660945126,-2041738.1863272977
152,14,62,85,5.119200830488136,585.3231508432419,-2041152.8631764546
153,31,62,86,5.119200830488136,3276.504326979969,-2037876.3588494747
154,9,62,87,5.119200830488136,2527.5650987728395,-2035348.793750702
155,95,63,87,5.119200830488136,-4889.086837153215,-2040237.8805878551
156,112,64,87,5.119200830488136,-14771.844812818272,-2055009.7254006735
157,140,65,87,5.119200830488136,-9275.461972384306,-2064285.1873730577
158,6,65,88,5.119200830488136,2104.298831839124,-2062180.8885412186
159,41,66,88,5.119200830488136,-15308.839201703997,-2077489.7277429225
160,66,67,88,5.119200830488136,-8289.690204269229,-2085779.4179471917
161,50,68,88,5.119200830488136,-6931.2491103865395,-2092710.6670575782
162,54,69,88,5.119200830488136,-5321.473049716187,-2098032.1401072945
163,23,69,89,5.119200830488136,4017.599612252815,-2094014.5404950418
164,7,69,90,5.119200830488136,-2269.8599668256006,-2096284.4004618675
165,4,69,91,5.119200830488136,1924.8358763772892,-2094359.5645854902
166,220,70,91,4.863240788963729,8086.832140577302,-2086272.732444913
167,33,70,92,4.863240788963729,5052.790942595802,-2081219.941502317
168,192,71,92,4.863240788963729,-11781.982604455681,-2093001.9241067728
169,7,71,93,4.863240788963729,2236.1370432187346,-2090765.787063554
170,13,71,94,4.863240788963729,2746.4062281857478,-2088019.3808353683
171,29,72,94,4.863240788963729,-8630.113682459752,-2096649.494517828
172,42,73,94,4.863240788963729,-5798.714724817074,-2102448.209242645
173,287,74,94,4.863240788963729,3631.0713136003305,-2098817.1379290447
174,46,74,95,4.863240788963729,6475.165091799816,-2092341.9728372449
175,299,74,95,4.863240788963729,21646.575537774308,-2070695.3972994706
176,196,74,96,4.863240788963729,9144.907458854306,-2061550.4898406162
177,14,74,97,4.863240788963729,1804.1985111366016,-2059746.2913294795
178,9,74,98,4.863240788963729,2572.87467943294,-2057173.4166500466
179,96,74,99,4.863240788963729,8949.994217454145,-2048223.4224325924
180,197,75,99,4.863240788963729,4868.471110867584,-2043354.9513217248
181,6,75,100,4.620078749515542,2159.278649897652,-2041195.6726718273
182,43,75,101,4.620078749515542,5730.819583019347,-2035464.853088808
183,1,75,102,4.620078749515542,1611.581254575403,-2033853.2718342326
184,38,75,103,4.620078749515542,4752.553672141299,-2029100.7181620912
185,231,76,103,4.620078749515542,7629.093182694272,-2021471.624979397
186,23,76,104,4.620078749515542,3997.5190418536217,-2017474.1059375433
187,299,76,104,4.620078749515542,26229.98051703482,-1991244.1254205084
188,162,77,104,4.620078749515542,-16300.186011303986,-2007544.3114318124
189,224,77,105,4.620078749515542,10156.266553134465,-1997388.044878678
190,65,78,105,4.620078749515542,-10316.145183230154,-2007704.190061908
191,299,78,105,4.620078749515542,22034.227199868983,-1985669.962862039
192,46,78,106,4.620078749515542,6136.105494163927,-1979533.857367875
193,248,79,106,4.620078749515542,12547.002238965775,-1966986.8551289092
194,82,80,106,4.620078749515542,-4309.26424262654,-1971296.1193715357
195,78,81,106,4.620078749515542,-2172.1277300473866,-1973468.247101583
196,172,82,106,4.389074812039765,-44626.619234602054,-2018094.866336185
197,72,82,107,4.389074812039765,1949.4861410885057,-2016145.3801950966
198,27,82,108,4.389074812039765,3115.028802260161,-2013030.3513928365
199,296,83,108,4.389074812039765,-5185.849517082036,-2018216.2009099186
200,276,84,108,4.389074812039765,1610.3334398056995,-2016605.8674701129
201,141,84,109,4.389074812039765,1245.1659661565752,-2015360.7015039562
202,263,85,109,4.389074812039765,11870.519899873223,-2003490.181604083
203,161,86,109,4.389074812039765,-5259.97861566989,-2008750.160219753
204,8,86,110,4.389074812039765,1143.6717060355081,-2007606.4885137174
205,222,87,110,4.389074812039765,2595.140379210652,-2005011.3481345067
206,83,88,110,4.389074812039765,-21148.95266177629,-2026160.300796283
207,1,88,111,4.389074812039765,1611.581254575403,-2024548.7195417075
208,183,88,112,4.389074812039765,9865.669192943433,-2014683.050348764
209,156,89,112,4.389074812039765,3967.5585266051694,-2010715.491822159
210,6,89,113,4.389074812039765,-172.93669982951565,-2010888.4285219884
